period_and_financial_year,reporting_period,days_in_period,period_beginning,period_ending,bus_journeys_m,underground_journeys_m,dlr_journeys_m,tram_journeys_m,overground_journeys_m,london_cable_car_journeys_m,tfl_rail_journeys_m
01_10/11,1,31,2010-04-01,2010-05-01,189.1,90.5,6.3,2.3,0.0,0.0,0.0
02_10/11,2,28,2010-05-02,2010-05-29,181.6,84.5,5.8,2.2,0.0,0.0,0.0
03_10/11,3,28,2010-05-30,2010-06-26,175.9,84.3,5.8,2.1,0.0,0.0,0.0
04_10/11,4,28,2010-06-27,2010-07-24,183.4,86.5,6.1,2.1,0.0,0.0,0.0
05_10/11,5,28,2010-07-25,2010-08-21,160.4,82.9,5.8,2.0,0.0,0.0,0.0
06_10/11,6,28,2010-08-22,2010-09-18,175.8,80.9,5.5,2.0,0.0,0.0,0.0
07_10/11,7,28,2010-09-19,2010-10-16,189.8,88.7,6.3,2.3,0.0,0.0,0.0
08_10/11,8,28,2010-10-17,2010-11-13,179.9,90.3,6.7,2.2,5.6,0.0,0.0
09_10/11,9,28,2010-11-14,2010-12-11,178.8,90.6,6.4,2.3,5.4,0.0,0.0
10_10/11,10,28,2010-12-12,2011-01-08,140.1,72.5,4.8,1.8,3.5,0.0,0.0
11_10/11,11,28,2011-01-09,2011-02-05,183.0,84.4,6.3,2.1,5.2,0.0,0.0
12_10/11,12,28,2011-02-06,2011-03-05,177.2,87.8,6.5,2.2,5.2,0.0,0.0
13_10/11,13,26,2011-03-06,2011-03-31,173.9,83.5,6.0,2.1,5.8,0.0,0.0
01_11/12,1,30,2011-04-01,2011-04-30,183.8,91.2,6.4,2.1,6.3,0.0,0.0
02_11/12,2,28,2011-05-01,2011-05-28,186.1,87.8,6.3,2.2,6.4,0.0,0.0
03_11/12,3,28,2011-05-29,2011-06-25,181.7,88.9,6.1,2.2,6.9,0.0,0.0
04_11/12,4,28,2011-06-26,2011-07-23,186.7,92.5,6.4,2.3,7.6,0.0,0.0
05_11/12,5,28,2011-07-24,2011-08-20,161.1,85.5,6.2,1.9,7.7,0.0,0.0
06_11/12,6,28,2011-08-21,2011-09-17,173.9,85.3,6.4,2.1,7.7,0.0,0.0
07_11/12,7,28,2011-09-18,2011-10-15,193.4,93.1,7.5,2.4,8.7,0.0,0.0
08_11/12,8,28,2011-10-16,2011-11-12,185.2,95.8,7.3,2.3,8.8,0.0,0.0
09_11/12,9,28,2011-11-13,2011-12-10,189.4,97.1,7.1,2.4,9.0,0.0,0.0
10_11/12,10,28,2011-12-11,2012-01-07,151.2,79.3,5.2,1.9,6.9,0.0,0.0
11_11/12,11,28,2012-01-08,2012-02-04,181.4,89.8,6.9,2.2,8.7,0.0,0.0
12_11/12,12,28,2012-02-05,2012-03-03,179.5,91.5,7.0,2.0,8.8,0.0,0.0
13_11/12,13,28,2012-03-04,2012-03-31,191.2,92.7,7.3,2.3,9.1,0.0,0.0
01_12/13,1,28,2012-04-01,2012-04-28,171.8,88.7,7.0,2.1,8.5,0.0,0.0
02_12/13,2,28,2012-04-29,2012-05-26,189.2,92.6,7.4,2.3,8.9,0.0,0.0
